discipline,round,men,women
chemical sciences,applications,83,39
physical sciences,applications,135,39
physics,applications,67,9
humanities,applications,230,166
technical sciences,applications,189,62
interdisciplinary,applications,105,78
earth/life sciences,applications,156,126
social sciences,applications,425,409
medical sciences,applications,245,260
chemical sciences,awards,22,10
physical sciences,awards,26,9
physics,awards,18,2
humanities,awards,33,32
technical sciences,awards,30,13
interdisciplinary,awards,12,17
earth/life sciences,awards,38,18
social sciences,awards,65,47
medical sciences,awards,46,29
